4.370966772304828_-1.31022860927426_
-174.61437333732925_5.939792772429369_
230.2554359021742_13.48066401495538_
-4.5992103865527945_1.620045458020269_
130.90032752104213_158.45933467679978_
47.43101424769769_-113.14784553195668_
-124.44155950029179_-3.0146085219834156_
394.8785229601209_1.991769902981174_
-63.28133985981924_0.6424214007097545_
93.31027161338984_24.899912955169818_
4.441343967176283_77.2222379536542_
-11.860866803815092_206.21615461771995_
-37.75398001880927_-6.772154913302804_
-318.2492867998772_6.482981547800996_
19.302030275448722_-3.324658793843597_
334.98737405151456_-71.94657921529142_
7.239663300236458_-52.83973466881203_
59.97078637288672_-31.829772697014892_
-5.675853486577129_-3.0573721574505406_
-77.02240942777985_-52.43276442882069_
9.20329742649844_0.9552180917303077_
-207.76057214757017_-1.7843422042478607_
-4.963786587396879_-133.48247419390313_
-9.641114822767005_-21.342109241789068_
2.8294946377100634_1.185903571063393_
37.93146266316848_11.553381699103461_
301.3267526835359_-1.304042507228254_
186.30068470725485_3.1829540379514265_
4.78578879559366_-15.38260663545177_
-17.333829164726914_3.0701595244980195_
-52.6707117520277_55.6385452425567_
-8.247156885933395_38.26558939081513_
