-3.87996132982746_1.0826672834290814_
195.87517117843268_2.0658233297670714_
-204.74501838804468_-0.6600530380830371_
334.98737405151456_-71.94657921529142_
130.90032752104213_158.45933467679978_
-38.12515648998247_-6.947415054060882_
9.67571816194726_1.0513721587256053_
-11.860866803815092_206.21615461771995_
-9.382178316171377_-134.9777750916677_
-318.2492867998772_6.482981547800996_
4.0482341095880505_-16.148608523457433_
-108.23991937322967_-0.26449202950324446_
88.90224413567485_12.109856923410016_
-5.92887104503947_42.44525682929201_
3.5622755545732527_0.6590055487048672_
74.41453011759924_-106.95157521264152_
394.8785229601209_1.991769902981174_
37.87907522455132_7.408493902558222_
15.07974027489307_-74.37696348836619_
-16.36720798788242_4.463023787018242_
10.20906211875658_-44.93784743060611_
301.3267526835359_-1.304042507228254_
-7.887318430509497_-4.523592170366996_
106.5343540465348_63.270081050449235_
-134.4339917877306_-5.796899288443515_
229.3376200831027_39.68028434229336_
88.81711750866052_-54.34717460592482_
-52.6707117520277_55.6385452425567_
-61.62272370617754_-0.33255325451893136_
-72.22476533686_-43.42523363525779_
-26.03840860737224_-36.49734857197563_
20.227897150724708_-4.092218838597545_
